Student No.,2017lab1/1,2017lab1/2,2017lab2/1,2017lab2/2,2017lab3/1,2017lab4/1,2017lab4/2
1500017827,1,1,1,1,1,1,1
1500018204,1,1,1,1,1,1,1
1600012120,1,1,1,1,1,1,1
1600012173,1,1,1,1,1,1,1
1600012182,1,1,1,1,1,1,1
1600012197,1,1,1,1,1,1,1
1600013237,1,1,1,1,1,1,1
1600017735,1,1,1,1,1,1,1
1700010641,1,1,1,1,1,1,1
1700010643,1,1,1,1,1,1,1
1700011072,1,1,1,1,0,1,1
1700011605,1,1,1,1,1,1,1
1700011703,1,1,1,1,1,1,1
1700011705,1,1,1,1,1,0,0
1700011706,1,1,1,1,1,1,1
1700011708,1,1,1,1,1,1,1
1700011711,1,1,1,1,1,1,1
1700011714,1,1,1,1,1,1,1
1700011716,1,1,1,1,1,1,1
1700011718,1,1,1,1,1,1,1
1700011720,1,1,1,1,1,1,1
1700011721,1,1,1,1,1,1,1
1700011722,1,1,1,1,1,1,1
1700011723,1,1,1,1,1,1,1
1700011724,1,1,1,1,1,1,1
1700011727,1,1,1,1,1,1,1
1700011730,1,1,1,1,1,1,1
1700011733,1,1,1,1,1,1,1
1700011735,1,1,1,1,1,1,1
1700011736,1,1,1,1,1,1,1
1700011738,1,1,1,1,1,1,1
1700011739,1,1,1,1,1,1,1
1700011740,1,1,1,1,1,1,1
1700011742,1,1,1,1,1,1,1
1700011743,1,1,1,1,1,1,1
1700011748,1,1,1,1,1,1,1
1700011757,1,1,1,1,1,1,1
1700011758,1,1,1,1,1,1,1
1700011766,1,1,1,1,1,1,1
1700011768,1,1,1,1,1,1,1
1700011769,1,1,1,1,1,1,1
1700011771,1,1,1,1,1,1,1
1700011774,1,1,1,1,1,1,1
1700011775,1,1,1,1,1,1,1
1700011776,1,1,1,1,1,1,1
1700011782,1,1,1,1,1,1,1
1700011783,1,1,1,1,1,1,1
1700011787,1,1,1,1,1,1,1
1700011794,1,1,1,1,1,1,1
1700011795,1,1,1,1,1,1,1
1700011798,1,1,1,1,1,1,1
1700011800,1,1,1,1,1,1,1
1700011801,1,1,1,1,1,1,1
1700011802,1,1,1,1,1,1,1
1700011804,1,1,1,1,1,1,1
1700011805,1,1,1,1,1,1,1
1700011806,1,1,1,1,1,1,1
1700011808,1,1,1,1,1,1,1
1700011810,1,1,1,1,1,1,1
1700011814,1,1,1,1,1,1,1
1700011815,1,1,1,1,1,1,1
1700011816,1,1,1,1,1,1,1
1700011817,1,1,1,1,1,1,1
1700011820,1,1,1,1,1,1,1
1700011823,1,1,1,1,1,1,1
1700011827,1,1,1,1,1,1,1
1700012459,1,1,1,1,1,1,1
1700012463,1,1,1,1,1,1,1
1700012608,1,1,1,1,1,1,1
1700012622,1,1,1,1,1,1,1
1700012623,1,1,1,1,1,1,1
1700013234,1,1,1,1,1,1,1
1700017797,1,1,1,1,1,1,1
1700017811,1,1,1,1,1,1,1
1700017838,1,1,1,1,1,1,1
1700017858,1,1,1,1,1,1,1
1700018617,1,1,1,1,1,1,1
1700018732,1,1,1,1,1,1,1
1700091005,1,1,1,1,1,1,1
1700094617,1,1,1,1,1,1,1
1700094622,1,1,1,1,1,1,1
